algorithm,N,k,comparisons,time,entry_time
radix_sort,100,1000000,600,0.0008018016815185547,1652157691.3737526
radix_sort,5994,1000,17982,0.024948835372924805,1652157691.3988647
insertion_sort,464,1000000,107416,0.030109167098999023,1652157691.4312963
quick_sort,10000,100,579856,0.14780879020690918,1652157691.5793867
insertion_sort,464,100,107416,0.02942180633544922,1652157691.6113365
insertion_sort,2154,100,2318781,0.6334898471832275,1652157692.2451267
insertion_sort,774,100,299151,0.08058691024780273,1652157692.3263905
radix_sort,464,1000,1392,0.0018186569213867188,1652157692.3285499
radix_sort,100,100,200,0.0002651214599609375,1652157692.3290067
insertion_sort,464,1000,107416,0.029871463775634766,1652157692.3589666
insertion_sort,2154,1000000,2318781,0.617196798324585,1652157692.9764702
merge_sort,464,100,2738,0.0023310184478759766,1652157692.979464
merge_sort,278,1000,1642,0.0013275146484375,1652157692.9809854
radix_sort,166,1000000,996,0.0012829303741455078,1652157692.9824014
merge_sort,2154,1000,16474,0.012609481811523438,1652157692.9951177
radix_sort,3593,1000000,21558,0.029148340225219727,1652157693.0249455
quick_sort,278,1000000,2202,0.0014603137969970703,1652157693.027545
merge_sort,1291,1000000,9450,0.007433414459228516,1652157693.0351856
default_sort,10000,100,0,0.0006000995635986328,1652157693.0362806
radix_sort,10000,1000,30000,0.0423126220703125,1652157693.0816996
quick_sort,278,100,2542,0.0011448860168457031,1652157693.0854256
default_sort,5994,1000000,0,0.00038743019104003906,1652157693.0859516
default_sort,5994,100,0,0.00028705596923828125,1652157693.0877593
quick_sort,5994,100,241648,0.0713958740234375,1652157693.1606355
merge_sort,774,1000000,5402,0.004170417785644531,1652157693.1663706
insertion_sort,2154,1000,2318781,0.614016056060791,1652157693.7806559
quick_sort,100,1000,656,0.0004038810729980469,1652157693.7817261
quick_sort,10000,1000000,184716,0.09952616691589355,1652157693.8813488
insertion_sort,774,1000,299151,0.08473372459411621,1652157693.968599
quick_sort,1291,100,18558,0.007843494415283203,1652157693.9767823
default_sort,166,1000,0,1.049041748046875e-05,1652157693.9771833
default_sort,166,100,0,8.344650268554688e-06,1652157693.9772959
default_sort,10000,1000000,0,0.0006740093231201172,1652157693.9780746
insertion_sort,278,1000,38503,0.010614156723022461,1652157693.9913416
radix_sort,278,100,556,0.0007069110870361328,1652157693.9922695
quick_sort,278,1000,2086,0.0011258125305175781,1652157693.9935336
merge_sort,100,100,451,0.000415802001953125,1652157693.9941125
quick_sort,100,100,696,0.0005230903625488281,1652157693.9947166
merge_sort,278,1000000,1467,0.0012583732604980469,1652157693.9960697
merge_sort,5994,100,60073,0.04437971115112305,1652157694.0406077
quick_sort,464,1000000,4098,0.0024123191833496094,1652157694.0446022
default_sort,2154,1000,0,0.0001289844512939453,1652157694.0449355
insertion_sort,3593,100,6453028,1.6912486553192139,1652157695.7367704
default_sort,464,1000,0,2.6226043701171875e-05,1652157695.7378075
radix_sort,1291,1000,3873,0.0050029754638671875,1652157695.7430038
quick_sort,464,1000,4569,0.002278566360473633,1652157695.7456775
radix_sort,2154,1000,6462,0.009447097778320312,1652157695.7553015
merge_sort,464,1000000,2717,0.002195119857788086,1652157695.7581637
default_sort,100,1000,0,8.58306884765625e-06,1652157695.7583618
quick_sort,3593,1000000,45137,0.024034500122070312,1652157695.7824886
insertion_sort,10000,1000,49995000,13.106762886047363,1652157708.8903344
insertion_sort,100,1000000,4950,0.0013339519500732422,1652157708.8942025
insertion_sort,10000,1000000,49995000,13.262047290802002,1652157722.1563494
insertion_sort,100,1000,4950,0.001344919204711914,1652157722.1602209
quick_sort,774,1000000,8006,0.004220247268676758,1652157722.1645393
quick_sort,166,1000,1214,0.0005733966827392578,1652157722.165373
radix_sort,166,100,332,0.0004420280456542969,1652157722.165912
radix_sort,2154,100,4308,0.00532841682434082,1652157722.1713417
default_sort,5994,1000,0,0.00040912628173828125,1652157722.1724672
insertion_sort,100,100,4950,0.0013797283172607422,1652157722.1769624
radix_sort,166,1000,498,0.0011377334594726562,1652157722.1782544
merge_sort,100,1000000,459,0.0007221698760986328,1652157722.1792586
quick_sort,166,100,1216,0.0006630420684814453,1652157722.1801288
insertion_sort,1291,100,832695,0.2192220687866211,1652157722.3995252
default_sort,278,1000,0,1.5974044799804688e-05,1652157722.4000013
default_sort,166,1000000,0,9.059906005859375e-06,1652157722.4001923
merge_sort,100,1000,425,0.000415802001953125,1652157722.4007328
quick_sort,166,1000000,1262,0.0006554126739501953,1652157722.4014747
radix_sort,278,1000000,1668,0.002141237258911133,1652157722.4037158
merge_sort,774,100,5233,0.004067659378051758,1652157722.4079192
default_sort,774,1000,0,4.363059997558594e-05,1652157722.4082198
radix_sort,5994,100,11988,0.015857696533203125,1652157722.4243464
default_sort,3593,1000,0,0.00021386146545410156,1652157722.4261959
insertion_sort,5994,100,17961021,4.786797523498535,1652157727.2142975
quick_sort,2154,100,41344,0.017708778381347656,1652157727.2335958
insertion_sort,3593,1000,6453028,1.6941144466400146,1652157728.928427
merge_sort,1291,100,9606,0.007216453552246094,1652157728.9366572
default_sort,100,1000000,0,7.62939453125e-06,1652157728.937054
radix_sort,3593,1000,10779,0.015033721923828125,1652157728.9521754
quick_sort,5994,1000000,92117,0.04733133316040039,1652157729.0005226
default_sort,464,1000000,0,2.5510787963867188e-05,1652157729.0021465
default_sort,464,100,0,2.2172927856445312e-05,1652157729.0023515
insertion_sort,3593,1000000,6453028,1.7003815174102783,1652157730.7029085
merge_sort,166,1000,845,0.0007281303405761719,1652157730.7046497
default_sort,2154,100,0,0.00012826919555664062,1652157730.7048907
merge_sort,3593,100,32840,0.025443077087402344,1652157730.7311502
quick_sort,3593,100,92247,0.02931070327758789,1652157730.7615058
radix_sort,5994,1000000,35964,0.04740619659423828,1652157730.8104758
insertion_sort,1291,1000,832695,0.22005915641784668,1652157731.0321302
radix_sort,100,1000,300,0.00045371055603027344,1652157731.0330467
merge_sort,2154,100,17615,0.014197349548339844,1652157731.0473425
radix_sort,774,100,1548,0.001964092254638672,1652157731.0500064
merge_sort,10000,1000,98329,0.07086682319641113,1652157731.121178
default_sort,1291,1000000,0,7.05718994140625e-05,1652157731.1237693
insertion_sort,278,100,38503,0.010010480880737305,1652157731.1341662
insertion_sort,166,1000,13695,0.004390716552734375,1652157731.1386893
insertion_sort,774,1000000,299151,0.0794682502746582,1652157731.218351
quick_sort,5994,1000,92249,0.04374837875366211,1652157731.2624388
radix_sort,10000,1000000,60000,0.07680058479309082,1652157731.3408904
quick_sort,774,1000,8144,0.004156827926635742,1652157731.347952
quick_sort,2154,1000,26639,0.014286279678344727,1652157731.3625076
default_sort,3593,100,0,0.00019431114196777344,1652157731.3633742
quick_sort,10000,1000,169987,0.07568359375,1652157731.440007
default_sort,1291,100,0,8.797645568847656e-05,1652157731.4426224
quick_sort,100,1000000,685,0.0005240440368652344,1652157731.4438615
merge_sort,10000,100,104047,0.07487273216247559,1652157731.5188668
default_sort,100,100,0,1.2636184692382812e-05,1652157731.5214071
quick_sort,3593,1000,52380,0.02854609489440918,1652157731.5500748
merge_sort,10000,1000000,93559,0.06807065010070801,1652157731.6191697
merge_sort,166,100,888,0.0007486343383789062,1652157731.6224487
radix_sort,278,1000,834,0.0011477470397949219,1652157731.6237028
default_sort,3593,1000000,0,0.0002219676971435547,1652157731.6240678
insertion_sort,10000,100,49995000,13.09768795967102,1652157744.7226791
radix_sort,10000,100,20000,0.02781844139099121,1652157744.7531319
radix_sort,774,1000,2322,0.0031118392944335938,1652157744.7600665
merge_sort,166,1000000,934,0.0008790493011474609,1652157744.7613075
quick_sort,464,100,4569,0.0022966861724853516,1652157744.7637603
insertion_sort,5994,1000000,17961021,4.715447902679443,1652157749.4794059
